 WWW SWIGGY IN       ,467.00
 MAHINDRA RETAIL PVT ,1395.00
 BUNDL TECHNOLOGIES P,261.00
 PayU                ,1947.00
 UBER INR            ,115.92
 AMAZONS SVCS        ,308.00
 AIRTEL              ,1849.78
 KALMANE KOFFEES     ,170.00
 KALMANE KOFFEES     ,350.00
 SAPNA BOOK HOUSE PVT,1365.00
 LATE CHARGES        ,800.00
 SERVICE TAX         ,120.00
 PayU                ,345.00
 WWW BIGBASKET COM   ,1543.00
 FULLOTOYS EDUTAINMEN,2497.00
 WWW.IRCTC.CO.IN INR ,1945.45
 WWW.IRCTC.CO.IN INR ,1945.45
 WWW.IRCTC.CO.IN INR ,-1906.00
 PayU                ,356.00
 RAZORPAY PAYMENTS   ,410.00
 RELIGARE WELLNESS LT,1875.00
 Citrus*hathway      ,2000.00
 WWW.IRCTC.CO.IN     ,-39.45
 AMAZON SELLER SERVIC,1780.00
 Citrus*hathway      ,2500.00
 RAZORPAY PAYMENTS   ,-410.00
 INTEREST            ,4318.85
 SERVICE TAX         ,647.83
 SER TAX & CESS 15%  ,31.11
 SERVICE TAX REVERSAL,-47.22
PREVIOUS BALANCE,59305.03
Month, 9 2016
Expenditure
Merchant, Amount
 mkdabbawala_PayTM   ,324.50
 PayU                ,464.00
 M K AHMED FRUITS AND,650.00
 V3 VENTURES         ,1279.00
 SANA SUPER MART     ,2753.00
 Online Payment      ,-60000.00
 M K AHMED FRUITS AND,570.00
 SANA SUPER MART     ,1040.00
 CAFE COFFEE DAY     ,377.00
 BESCOM BILLDESK     ,866.85
 WWW SWIGGY IN       ,144.00
 ANAND SWEETS & SAVOU,196.00
 WWW SWIGGY IN       ,354.00
 VIDEOCON D2H LIMIT I,650.00
 SHOPPERS STOP LTD   ,1500.00
 Netflix.com         ,655.20
 Retail_ccavenue_com ,799.00
 CAFE COFFEE DAY     ,341.00
 SAPNA BOOK HOUSE    ,2218.00
 LIFE STYLE INTERNATI,2542.00
 MEDPLUS−OPTIVAL−INKA,1234.00
 AMAZONS SVCS        ,1882.00
 RAZORPAY PAYMENTS   ,16500.00
 ORIENTAL CUSINES PVT,1103.00
 UBER INR            ,-1.00
 WWW SWIGGY IN       ,187.00
 ANAND SWEETS & SAVOU,405.00
 RAZORPAY PAYMENTS   ,2342.00
 SOUTH INDIES RESTAUR,2360.00
 SUBWAY              ,290.00
 TATA STARBUCKS LIMIT,880.00
 AMAZONS SVCS        ,1689.00
 WWW SWIGGY IN       ,240.00
 mkdabbawala_PayTM   ,491.50
 BENISON SUPER MARKET,2230.00
 Online Payment      ,-65000.00
 APOLLO PHARMACY     ,113.38
 APOLLO PHARMACY     ,195.00
 NATIONWIDE PRIMARY H,500.00
 M K AHMED FRUITS AND,540.00
 SANA SUPER MART     ,1127.00
 AIRTEL              ,1749.90
 SANA SUPER MART     ,1433.00
 AMAZONS SVCS        ,309.00
 AMAZONS SVCS        ,1751.00
 INTEREST            ,2228.38
 SERVICE TAX         ,334.26
PREVIOUS BALANCE,124645.66
Month, 10 2016
Expenditure
Merchant, Amount
 WWW SWIGGY IN       ,363.00
 SANA SUPER MART     ,635.00
 M K AHMED FRUITS AND,665.00
 PUNJABI TIMES       ,1295.72
 CROSSWORD BOOKSTORES,1798.00
 SHIV SAGAR          ,200.00
 Heels And Toes2.    ,299.00
 www.freshmenu.com   ,350.00
 LIFE STYLE INTERNATI,2545.00
 WWW SWIGGY IN       ,196.00
 KANTI SWEETS        ,253.00
 AMAZONS SVCS        ,338.00
 WWW SWIGGY IN       ,335.00
 KALMANE KOFFEES     ,390.00
 ENRICH HAIR & SKIN S,414.00
 NATIONWIDE PRIMARY H,500.00
 AFFORD HEALTHCARE SO,752.00
 HYPERCITY RETAIL IND,938.00
 AMAZONS SVCS        ,2498.00
 CAFE COFFEE DAY     ,151.00
 WWW SWIGGY IN       ,195.00
 WWW BIGBASKET COM   ,1333.00
 AMAZONS SVCS        ,990.00
 AMAZONS SVCS        ,1599.00
 RAZORPAY PAYMENTS   ,100.00
 WWW SWIGGY IN       ,165.00
 WWW.IRCTC.CO.IN INR ,-1440.00
 WWW.IRCTC.CO.IN INR ,-1440.00
 Netflix.com         ,650.00
 WWW SWIGGY IN       ,20.00
 WWW BIGBASKET COM   ,348.00
 WWW SWIGGY IN       ,415.00
 CLEARTRIP PRIVATE LT,12561.00
 WWW SWIGGY IN       ,184.00
 AMAZONS SVCS        ,600.00
 Faasos APP          ,647.00
 SWIGGY.IN           ,232.00
 WWW SWIGGY IN       ,265.00
 WWW SWIGGY IN       ,276.00
 AMAZONS SVCS        ,1323.00
 WWW SWIGGY IN       ,370.00
 KIDZON              ,4477.00
 FLOATING WALLS      ,8300.00
 freshmenu_PayU      ,370.00
 AMAZONS SVCS        ,3382.00
 Online Payment      ,-60000.00
 freshmenu_PayU      ,170.00
 AMAZONS SVCS        ,2450.00
 CAFE COFFEE DAY     ,355.00
 WWW SWIGGY IN       ,385.00
 AMAZONS SVCS        ,785.00
 WWW SWIGGY IN       ,345.00
 WWW SWIGGY IN       ,450.00
 WWW SWIGGY IN       ,820.00
 FABINDIA OVERSEAS PV,820.00
 FLIPKART INTERNET PV,7738.00
 WWW SWIGGY IN       ,287.00
 FLIPKART INTERNET PV,38860.00
 M K AHMED FRUITS AND,268.00
 SANA SUPER MART     ,1058.00
 AIRTEL              ,1799.54
 WWW SWIGGY IN       ,212.00
 WWW.ALIEXPRESS.COM  ,10172.40
 ART BLEND CAFE      ,447.00
 WWW SWIGGY IN       ,529.00
 HYPERCITY RETAIL IND,581.00
 LIFE STYLE INTERNATI,2649.00
 VECTOR E−COMMERCE PV,1484.00
 SERVICE TAX REVERSAL,-10.54
PREVIOUS BALANCE,59482.63
